,Data,Id,Tweet Text,UserName,Location,Hashtags
48,2017-08-26 08:15:47+00:00,901357491564363776,@woodymcfarley Vote for Wilma Rodrigues. #globalcitizen #zerowaste #wastemanagement,SaahasZeroWaste,"Bangalore, India","['globalcitizen', 'zerowaste', 'wastemanagement']"
49,2017-08-21 17:39:50+00:00,899687502306353154,#Chandigarh #City #Beautiful and #Floods Indians think for #clean India &amp; do not dispose #garbage in #drains @SwaachBharat,yogendrasaxena6,"New Delhi, India","['Chandigarh', 'City', 'Beautiful', 'Floods', 'clean', 'garbage', 'drains']"
50,2017-08-21 15:02:10+00:00,899647822437392384,"Same problem of #plastic is with #Cows, even humans drinking water from #PlasticBotels is worst https://t.co/Gr3tSfJ0l2",gopalkagarwal,noida,"['plastic', 'Cows', 'PlasticBotels']"
51,2017-08-16 15:07:10+00:00,897837143732568064,Watched #ToiletEkPremKatha  movieof the time to motivate villagers Time to make on #garbage - No #littering 4 #clean India @SwaachBharat,yogendrasaxena6,"New Delhi, India","['ToiletEkPremKatha', 'garbage', 'littering', 'clean']"
52,2017-08-13 17:44:06+00:00,896789473924595712,@Dell_IN your tech #support is worst and the #paid #garbage @McAfee #software is of no use. Both of your support is not connecting,Bakshii4,Delhi,"['support', 'paid', 'garbage', 'software']"
53,2017-08-09 17:51:25+00:00,895341764306796544,@EnvAgency @MoHFW_INDIA @UNEP @WHO @guardianeco @drharshvardhan pls set a mechanism of #plastic production &amp; disposal.Control is inevitable,shahnaazkhan15,new delhi,['plastic']
54,2017-08-09 17:46:47+00:00,895340597795471360,@UNICEF @UNICEFIndia @WHO @narendramodi_in @narendramodi it's high time that we realise to control/ban #plastic use.#harming our 🌎 #wakeup,shahnaazkhan15,new delhi,"['plastic', 'harming', 'wakeup']"
55,2017-08-04 12:11:56+00:00,893444388487020544,"@HongyijigHK #Plastic #Injection #Mould #Manufacturers from #China and #Taiwan, serving #industry in #Productdesigning, #ProductEngineering https://t.co/119CmM3k2B",HongyijigHK,Delhi,"['Plastic', 'Injection', 'Mould', 'Manufacturers', 'China', 'Taiwan', 'industry', 'Productdesigning', 'ProductEngineering']"
56,2017-08-01 09:58:38+00:00,892323680268591104,School awareness programs today #SDMC Tughlakabad @rameshbidhuri @swachhbharat #segregation #wastemanagement @_WeMeanToClean @ILFSEducation https://t.co/q0YTXPzjJ0,DDSILtd,"Okhla, New Delhi","['SDMC', 'segregation', 'wastemanagement']"
57,2017-07-31 07:30:25+00:00,891923991081787392,Talking to kids of DPS EoK about #wastemanagement #SwachhBharat  #segregation @PMOIndia   @SwachhBharatGov @ilfsenvironment @narendramodi https://t.co/V9d0exLUSF,DDSILtd,"Okhla, New Delhi","['wastemanagement', 'SwachhBharat', 'segregation']"
58,2017-07-30 11:42:42+00:00,891625095134720001,#SupremeCourt #Petition against #Garbage and for safe and potable #water https://t.co/T4pQbl4Iye,jagohindustan,New Delhi,"['SupremeCourt', 'Petition', 'Garbage', 'water']"
